Date,Price,Open,High,Low,,
5/11/2020,84.73,84.945,85.095,84.84,,
5/8/2020,84.76,84.98,85.045,84.98,,
5/7/2020,84.76,85.04,85.155,84.84,,
5/6/2020,84.73,84.96,85.03,84.96,,
5/5/2020,84.73,84.945,85.055,84.495,,
5/4/2020,84.73,84.945,85.065,84.84,,
5/1/2020,84.78,84.985,85.035,84.985,,
4/30/2020,84.78,84.945,85.095,84.84,,
4/29/2020,84.73,84.87,85.115,84.84,,
4/28/2020,84.73,84.945,84.975,84.84,,
4/27/2020,84.73,84.945,85.015,84.84,,
4/24/2020,84.76,84.985,85.015,84.965,,
4/23/2020,84.76,84.945,85.065,84.855,,
4/22/2020,84.73,84.945,85.055,84.84,,
4/21/2020,84.73,84.945,85.025,84.84,,
4/20/2020,84.73,84.945,85.035,84.81,,
4/17/2020,84.73,84.9,84.97,84.87,,
4/16/2020,84.73,84.92,85.035,84.81,,
4/15/2020,84.73,84.945,85.035,84.8,,
4/14/2020,84.65,84.96,85.03,84.89,,
4/13/2020,84.65,84.945,85.095,84.8,,
4/9/2020,84.65,84.945,84.965,84.8,,
4/8/2020,84.65,84.945,85.035,84.8,,
4/7/2020,84.65,84.945,85.035,84.8,,
4/6/2020,84.65,84.945,85.035,84.8,,
4/3/2020,84.67,84.9,84.92,84.87,,
