"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2019","84.420","84.415","84.520","84.415","0.01K","-0.09%"
"06/28/2019","84.495","84.495","84.495","84.495","","0.01%"
"06/27/2019","84.490","84.495","84.495","84.495","","0.08%"
"06/26/2019","84.420","84.495","84.575","84.385","0.02K","0.00%"
"06/25/2019","84.420","84.495","84.545","84.385","0.01K","0.00%"
"06/24/2019","84.420","84.495","84.585","84.385","0.02K","0.01%"
"06/21/2019","84.410","84.505","84.535","84.505","0.01K","0.00%"
"06/20/2019","84.410","84.495","84.540","84.385","0.02K","-0.01%"
"06/19/2019","84.420","84.495","84.550","84.385","0.01K","0.00%"
"06/18/2019","84.420","84.495","84.555","84.385","0.01K","0.00%"
"06/17/2019","84.420","84.495","84.555","84.385","0.01K","0.00%"
"06/14/2019","84.420","84.540","84.550","84.540","0.00K","0.00%"
"06/13/2019","84.420","84.495","84.570","84.460","0.02K","-0.08%"
"06/12/2019","84.490","84.425","84.535","84.385","","0.26%"
"06/11/2019","84.270","84.495","84.530","84.385","0.01K","0.00%"
"06/10/2019","84.270","84.495","84.545","84.385","0.02K","0.23%"
"06/07/2019","84.080","84.585","84.590","84.545","0.00K","0.00%"
"06/06/2019","84.080","84.530","84.630","84.470","0.01K","-0.10%"
"06/05/2019","84.160","84.590","84.650","84.505","0.01K","0.08%"
"06/04/2019","84.090","84.580","84.590","84.540","0.00K","-0.19%"
"06/03/2019","84.250","84.495","84.735","84.375","0.01K","-0.19%"
"05/31/2019","84.410","84.410","84.410","84.410","","0.57%"
"05/30/2019","83.930","84.495","84.690","84.215","0.01K","-0.29%"
"05/29/2019","84.170","84.495","84.655","84.335","0.01K","0.48%"
"05/28/2019","83.770","84.495","84.620","84.135","0.02K","-0.85%"
"05/27/2019","84.490","84.495","84.495","84.495","","0.86%"
"05/24/2019","83.770","84.225","84.230","84.225","0.00K","-0.10%"
"05/23/2019","83.850","84.495","84.575","84.175","0.02K","0.00%"
"05/22/2019","83.850","84.495","84.565","84.175","0.01K","-0.19%"
"05/21/2019","84.010","84.495","84.540","84.255","0.02K","0.10%"
"05/20/2019","83.930","84.495","84.685","84.215","0.02K","0.20%"
"05/17/2019","83.760","84.310","84.350","84.185","0.00K","-0.10%"
"05/16/2019","83.840","84.495","84.575","84.170","0.02K","0.18%"
"05/15/2019","83.690","84.495","84.560","84.095","0.03K","-0.29%"
"05/14/2019","83.930","84.495","84.545","84.215","0.01K","-0.10%"
"05/13/2019","84.010","84.495","84.545","84.255","0.02K","0.38%"
"05/10/2019","83.690","84.415","84.505","84.080","0.01K","-0.57%"
"05/09/2019","84.170","84.495","84.525","84.320","0.01K","-0.19%"
"05/08/2019","84.330","84.495","84.515","84.415","0.01K","0.19%"
"05/07/2019","84.170","84.445","84.525","84.310","0.01K","-0.32%"
"05/06/2019","84.440","84.445","84.445","84.445","","0.20%"
"05/03/2019","84.270","84.385","84.385","84.385","","0.00%"
"05/02/2019","84.270","84.445","84.470","84.360","0.01K","0.01%"
"05/01/2019","84.265","84.265","84.265","84.265","","0.55%"
"04/30/2019","83.800","84.480","84.585","84.125","0.02K","-0.76%"
"04/29/2019","84.440","84.345","84.465","84.345","0.01K","0.48%"
"04/26/2019","84.035","84.035","84.035","84.035","","0.58%"
"04/25/2019","83.550","84.345","84.450","83.950","0.02K","-0.12%"
"04/24/2019","83.650","84.195","84.490","84.000","0.02K","-0.25%"
"04/23/2019","83.860","84.380","84.480","84.105","0.02K","-0.10%"
"04/22/2019","83.940","84.415","84.440","84.255","0.01K","0.38%"
"04/19/2019","83.620","84.175","84.200","84.060","0.01K","-0.38%"
"04/18/2019","83.940","84.345","84.435","84.145","0.01K","-0.47%"
"04/17/2019","84.340","84.345","84.345","84.345","","0.48%"
"04/16/2019","83.940","84.225","84.425","84.145","0.02K","-0.10%"
"04/15/2019","84.020","84.390","84.440","84.185","0.01K","-0.09%"
"04/12/2019","84.095","84.095","84.095","84.095","","0.57%"
"04/11/2019","83.620","84.345","84.480","83.980","0.02K","-0.19%"
"04/10/2019","83.780","84.395","84.440","84.065","0.02K","0.19%"
"04/09/2019","83.620","84.295","84.505","83.935","0.02K","-0.42%"
"04/08/2019","83.970","84.245","84.315","84.110","0.01K","0.67%"
"04/05/2019","83.410","83.945","83.950","83.905","0.00K","-0.19%"
"04/04/2019","83.570","84.240","84.340","83.910","0.02K","-0.33%"
"04/03/2019","83.850","84.245","84.270","84.050","0.01K","0.10%"
"04/02/2019","83.770","84.245","84.275","84.010","0.01K","0.20%"
"04/01/2019","83.600","84.245","84.300","83.925","0.02K","0.19%"
"03/29/2019","83.440","84.030","84.060","83.910","0.00K","-0.38%"
"03/28/2019","83.760","84.240","84.300","84.005","0.01K","0.30%"
"03/27/2019","83.510","84.245","84.340","83.880","0.02K","-0.51%"
"03/26/2019","83.940","83.940","83.940","83.940","","0.60%"
"03/25/2019","83.440","84.225","84.340","83.845","0.02K","-0.57%"
"03/22/2019","83.915","83.915","83.915","83.915","","0.57%"
"03/21/2019","83.440","84.225","84.315","83.845","0.02K","-0.08%"
"03/20/2019","83.510","84.245","84.335","83.855","0.02K","-0.20%"
"03/19/2019","83.680","84.245","84.400","83.940","0.01K","0.00%"
"03/18/2019","83.680","84.175","84.345","83.795","0.01K","-0.32%"
"03/15/2019","83.950","83.950","83.950","83.950","","0.37%"
"03/14/2019","83.640","84.190","84.285","83.920","0.01K","-0.10%"
"03/13/2019","83.720","84.195","84.285","83.955","0.01K","0.06%"
"03/12/2019","83.670","84.195","84.320","83.920","0.01K","0.38%"
"03/11/2019","83.350","84.245","84.280","83.775","0.02K","0.04%"
"03/08/2019","83.320","83.815","83.815","83.815","","-0.10%"
"03/07/2019","83.400","84.135","84.220","83.775","0.02K","-0.48%"
"03/06/2019","83.800","84.145","84.165","83.975","0.01K","0.29%"
"03/05/2019","83.560","84.145","84.220","83.855","0.01K","-0.25%"
"03/04/2019","83.770","84.145","84.200","83.960","0.01K","-0.12%"
"03/01/2019","83.870","83.870","83.870","83.870","","0.00%"
"02/28/2019","83.870","83.870","83.870","83.870","","0.56%"
"02/27/2019","83.400","84.145","84.240","83.775","0.01K","-0.29%"
"02/26/2019","83.640","84.145","84.215","83.895","0.01K","0.10%"
"02/25/2019","83.560","84.115","84.345","83.840","0.01K","-0.53%"
"02/22/2019","84.005","84.005","84.005","84.005","","0.56%"
"02/21/2019","83.540","84.215","84.245","83.975","0.01K","-0.67%"
"02/20/2019","84.100","84.115","84.115","84.110","0.01K","0.00%"
"02/19/2019","84.100","84.115","84.115","84.110","0.01K","0.00%"
"02/18/2019","84.100","84.115","84.115","84.110","0.01K","0.21%"
"02/15/2019","83.925","83.925","83.925","83.925","","0.55%"
"02/14/2019","83.470","83.845","84.245","83.705","0.01K","-0.06%"
"02/13/2019","83.520","84.045","84.135","83.785","0.01K","-0.10%"
"02/12/2019","83.600","84.025","84.100","83.775","0.01K","0.31%"
"02/11/2019","83.340","83.945","84.020","83.645","0.01K","0.10%"
"02/08/2019","83.260","83.810","83.840","83.690","0.00K","-0.38%"
"02/07/2019","83.580","83.925","84.020","83.765","0.01K","0.10%"
"02/06/2019","83.500","83.945","83.995","83.725","0.01K","-0.29%"
"02/05/2019","83.740","83.945","83.990","83.845","0.01K","0.10%"
"02/04/2019","83.660","83.945","83.995","83.805","0.01K","0.58%"
"02/01/2019","83.180","83.660","83.660","83.660","","-0.10%"
"01/31/2019","83.260","83.895","84.015","83.605","0.02K","-0.38%"
"01/30/2019","83.580","83.925","84.000","83.765","0.01K","-0.04%"
"01/29/2019","83.610","83.945","83.970","83.780","0.01K","-0.20%"
"01/28/2019","83.780","83.945","83.960","83.865","0.01K","0.62%"
"01/25/2019","83.260","83.765","83.775","83.725","0.00K","-0.19%"
"01/24/2019","83.420","83.945","84.060","83.685","0.01K","0.19%"
"01/23/2019","83.260","83.945","84.025","83.605","0.02K","-0.48%"
"01/22/2019","83.660","83.895","83.955","83.805","0.01K","-0.33%"
"01/21/2019","83.940","83.945","83.945","83.925","0.00K","0.35%"
